2015-12-16 18:51:33.7057|Info|Sensor_Service.Sensor..ctor| message :  Avvio Servizio Sensor 
2015-12-16 18:51:37.6540|Info|Sensor_Service.DB_MYSQL..ctor| message :  DB Creato 
2015-12-16 18:51:37.7690|Info|Sensor_Service.ConnectionSetAndOpen.DoBeginAcceptSocket| message :  Waiting for a connection 127.0.0.1:7000 
2015-12-16 18:51:37.7730|Debug|Sensor_Service.TickData.pollLoop| message :  STATE_MACHINE_STATE.S_IDLE 
2015-12-16 18:51:38.7751|Debug|Sensor_Service.TickData.pollLoop| message :  STATE_MACHINE_STATE.S_IDLE 
2015-12-16 18:51:39.7761|Debug|Sensor_Service.TickData.pollLoop| message :  STATE_MACHINE_STATE.S_IDLE 
2015-12-16 18:51:40.7771|Debug|Sensor_Service.TickData.pollLoop| message :  STATE_MACHINE_STATE.S_IDLE 
2015-12-16 18:51:41.7782|Debug|Sensor_Service.TickData.pollLoop| message :  STATE_MACHINE_STATE.S_IDLE 
2015-12-16 18:51:42.7793|Debug|Sensor_Service.TickData.pollLoop| message :  STATE_MACHINE_STATE.S_IDLE 
2015-12-16 18:51:43.7803|Debug|Sensor_Service.TickData.pollLoop| message :  STATE_MACHINE_STATE.S_IDLE 
2015-12-16 18:51:44.7814|Debug|Sensor_Service.TickData.pollLoop| message :  STATE_MACHINE_STATE.S_IDLE 
2015-12-16 18:51:45.7825|Debug|Sensor_Service.TickData.pollLoop| message :  STATE_MACHINE_STATE.S_IDLE 
2015-12-16 18:51:46.7835|Debug|Sensor_Service.TickData.pollLoop| message :  STATE_MACHINE_STATE.S_IDLE 
2015-12-16 18:51:47.7846|Debug|Sensor_Service.TickData.pollLoop| message :  STATE_MACHINE_STATE.S_IDLE 
2015-12-16 18:51:47.7846|Info|Sensor_Service.TickData.pollLoop| message :  Num Message To send: 7 
2015-12-16 18:51:47.7896|Debug|Sensor_Service.TickData.pollLoop| message :  STATE_MACHINE_STATE.S_WRITE_MESSAGE 
2015-12-16 18:51:47.7896|Debug|Sensor_Service.TickData.pollLoop| message :  STATE_MACHINE_STATE.S_IDLE 
2015-12-16 18:51:47.7896|Info|Sensor_Service.TickData.pollLoop| message :  Num Message To send: 6 
2015-12-16 18:51:47.7896|Debug|Sensor_Service.TickData.pollLoop| message :  STATE_MACHINE_STATE.S_WRITE_MESSAGE 
2015-12-16 18:51:47.7896|Debug|Sensor_Service.TickData.pollLoop| message :  STATE_MACHINE_STATE.S_IDLE 
2015-12-16 18:51:47.7896|Info|Sensor_Service.TickData.pollLoop| message :  Num Message To send: 5 
2015-12-16 18:51:47.7896|Debug|Sensor_Service.TickData.pollLoop| message :  STATE_MACHINE_STATE.S_WRITE_MESSAGE 
2015-12-16 18:51:47.7896|Debug|Sensor_Service.TickData.pollLoop| message :  STATE_MACHINE_STATE.S_IDLE 
2015-12-16 18:51:47.7896|Info|Sensor_Service.TickData.pollLoop| message :  Num Message To send: 4 
2015-12-16 18:51:47.7896|Debug|Sensor_Service.TickData.pollLoop| message :  STATE_MACHINE_STATE.S_WRITE_MESSAGE 
2015-12-16 18:51:47.7896|Debug|Sensor_Service.TickData.pollLoop| message :  STATE_MACHINE_STATE.S_IDLE 
2015-12-16 18:51:47.7896|Info|Sensor_Service.TickData.pollLoop| message :  Num Message To send: 3 
2015-12-16 18:51:47.7896|Debug|Sensor_Service.TickData.pollLoop| message :  STATE_MACHINE_STATE.S_WRITE_MESSAGE 
2015-12-16 18:51:47.7896|Debug|Sensor_Service.TickData.pollLoop| message :  STATE_MACHINE_STATE.S_IDLE 
2015-12-16 18:51:47.7896|Info|Sensor_Service.TickData.pollLoop| message :  Num Message To send: 2 
2015-12-16 18:51:47.7896|Debug|Sensor_Service.TickData.pollLoop| message :  STATE_MACHINE_STATE.S_WRITE_MESSAGE 
2015-12-16 18:51:47.7896|Debug|Sensor_Service.TickData.pollLoop| message :  STATE_MACHINE_STATE.S_IDLE 
2015-12-16 18:51:47.7896|Info|Sensor_Service.TickData.pollLoop| message :  Num Message To send: 1 
2015-12-16 18:51:47.7896|Debug|Sensor_Service.TickData.pollLoop| message :  STATE_MACHINE_STATE.S_WRITE_MESSAGE 
2015-12-16 18:51:47.7896|Debug|Sensor_Service.TickData.pollLoop| message :  STATE_MACHINE_STATE.S_IDLE 
2015-12-16 18:51:48.7986|Debug|Sensor_Service.TickData.pollLoop| message :  STATE_MACHINE_STATE.S_IDLE 
2015-12-16 18:51:49.7997|Debug|Sensor_Service.TickData.pollLoop| message :  STATE_MACHINE_STATE.S_IDLE 
2015-12-16 18:51:50.8007|Debug|Sensor_Service.TickData.pollLoop| message :  STATE_MACHINE_STATE.S_IDLE 
2015-12-16 18:51:51.8018|Debug|Sensor_Service.TickData.pollLoop| message :  STATE_MACHINE_STATE.S_IDLE 
2015-12-16 18:51:52.8029|Debug|Sensor_Service.TickData.pollLoop| message :  STATE_MACHINE_STATE.S_IDLE 
2015-12-16 18:51:53.8039|Debug|Sensor_Service.TickData.pollLoop| message :  STATE_MACHINE_STATE.S_IDLE 
2015-12-16 18:51:54.8050|Debug|Sensor_Service.TickData.pollLoop| message :  STATE_MACHINE_STATE.S_IDLE 
2015-12-16 18:51:55.8060|Debug|Sensor_Service.TickData.pollLoop| message :  STATE_MACHINE_STATE.S_IDLE 
2015-12-16 18:51:56.8071|Debug|Sensor_Service.TickData.pollLoop| message :  STATE_MACHINE_STATE.S_IDLE 
2015-12-16 18:51:57.8081|Debug|Sensor_Service.TickData.pollLoop| message :  STATE_MACHINE_STATE.S_IDLE 
2015-12-16 18:51:57.8081|Info|Sensor_Service.TickData.pollLoop| message :  Num Message To send: 7 
2015-12-16 18:51:57.8081|Debug|Sensor_Service.TickData.pollLoop| message :  STATE_MACHINE_STATE.S_WRITE_MESSAGE 
2015-12-16 18:51:57.8081|Debug|Sensor_Service.TickData.pollLoop| message :  STATE_MACHINE_STATE.S_IDLE 
2015-12-16 18:51:57.8081|Info|Sensor_Service.TickData.pollLoop| message :  Num Message To send: 6 
2015-12-16 18:51:57.8081|Debug|Sensor_Service.TickData.pollLoop| message :  STATE_MACHINE_STATE.S_WRITE_MESSAGE 
2015-12-16 18:51:57.8081|Debug|Sensor_Service.TickData.pollLoop| message :  STATE_MACHINE_STATE.S_IDLE 
2015-12-16 18:51:57.8081|Info|Sensor_Service.TickData.pollLoop| message :  Num Message To send: 5 
2015-12-16 18:51:57.8081|Debug|Sensor_Service.TickData.pollLoop| message :  STATE_MACHINE_STATE.S_WRITE_MESSAGE 
2015-12-16 18:51:57.8081|Debug|Sensor_Service.TickData.pollLoop| message :  STATE_MACHINE_STATE.S_IDLE 
2015-12-16 18:51:57.8081|Info|Sensor_Service.TickData.pollLoop| message :  Num Message To send: 4 
2015-12-16 18:51:57.8081|Debug|Sensor_Service.TickData.pollLoop| message :  STATE_MACHINE_STATE.S_WRITE_MESSAGE 
2015-12-16 18:51:57.8081|Debug|Sensor_Service.TickData.pollLoop| message :  STATE_MACHINE_STATE.S_IDLE 
2015-12-16 18:51:57.8081|Info|Sensor_Service.TickData.pollLoop| message :  Num Message To send: 3 
2015-12-16 18:51:57.8081|Debug|Sensor_Service.TickData.pollLoop| message :  STATE_MACHINE_STATE.S_WRITE_MESSAGE 
2015-12-16 18:51:57.8081|Debug|Sensor_Service.TickData.pollLoop| message :  STATE_MACHINE_STATE.S_IDLE 
2015-12-16 18:51:57.8081|Info|Sensor_Service.TickData.pollLoop| message :  Num Message To send: 2 
2015-12-16 18:51:57.8081|Debug|Sensor_Service.TickData.pollLoop| message :  STATE_MACHINE_STATE.S_WRITE_MESSAGE 
2015-12-16 18:51:57.8081|Debug|Sensor_Service.TickData.pollLoop| message :  STATE_MACHINE_STATE.S_IDLE 
2015-12-16 18:51:57.8081|Info|Sensor_Service.TickData.pollLoop| message :  Num Message To send: 1 
2015-12-16 18:51:57.8081|Debug|Sensor_Service.TickData.pollLoop| message :  STATE_MACHINE_STATE.S_WRITE_MESSAGE 
2015-12-16 18:51:57.8081|Debug|Sensor_Service.TickData.pollLoop| message :  STATE_MACHINE_STATE.S_IDLE 
2015-12-16 18:51:58.8162|Debug|Sensor_Service.TickData.pollLoop| message :  STATE_MACHINE_STATE.S_IDLE 
2015-12-16 18:51:59.8173|Debug|Sensor_Service.TickData.pollLoop| message :  STATE_MACHINE_STATE.S_IDLE 
2015-12-16 18:52:00.8187|Debug|Sensor_Service.TickData.pollLoop| message :  STATE_MACHINE_STATE.S_IDLE 
2015-12-16 18:52:01.8197|Debug|Sensor_Service.TickData.pollLoop| message :  STATE_MACHINE_STATE.S_IDLE 
2015-12-16 18:52:02.8208|Debug|Sensor_Service.TickData.pollLoop| message :  STATE_MACHINE_STATE.S_IDLE 
2015-12-16 18:52:03.8218|Debug|Sensor_Service.TickData.pollLoop| message :  STATE_MACHINE_STATE.S_IDLE 
2015-12-16 18:52:04.8229|Debug|Sensor_Service.TickData.pollLoop| message :  STATE_MACHINE_STATE.S_IDLE 
2015-12-16 18:52:05.8239|Debug|Sensor_Service.TickData.pollLoop| message :  STATE_MACHINE_STATE.S_IDLE 
2015-12-16 18:52:06.8250|Debug|Sensor_Service.TickData.pollLoop| message :  STATE_MACHINE_STATE.S_IDLE 
2015-12-16 18:52:07.8260|Debug|Sensor_Service.TickData.pollLoop| message :  STATE_MACHINE_STATE.S_IDLE 
2015-12-16 18:52:07.8260|Info|Sensor_Service.TickData.pollLoop| message :  Num Message To send: 7 
